t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ
11009.5,283.2084936278113,0.0,60740.8420066039,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11069.5,328.89955122170693,0.0,56475.04704295276,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11129.5,302.0325684763578,0.0,53666.805837236374,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11189.5,366.8486378048239,0.0,49756.435862385115,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11249.5,455.5852092230233,0.0,53162.76200531948,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11309.5,450.3623838502033,0.0,64147.304851093126,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11369.5,493.2061904940728,0.0,72366.70567477883,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11429.5,504.71602078011904,0.0,83213.83982296634,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11489.5,471.0449613356247,0.0,93471.0151775025,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11549.5,343.45541135747493,0.0,93659.01857092931,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11609.5,362.07235528306444,0.0,85588.3791952463,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11669.5,320.71583001886216,0.0,79309.52650340911,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11729.5,302.96996594534534,0.0,68049.79779712274,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11789.5,416.39321967427844,0.0,59427.53044291643,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11849.5,493.7551694575048,0.0,62062.32673394845,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11909.5,511.1976777673711,0.0,72022.6185604816,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
11969.5,593.2059781505762,0.0,83764.09079056834,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12029.5,649.1816187800644,0.0,103341.3399997671,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12089.5,590.9540878047324,0.0,119185.73830029328,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12149.5,524.1677857358461,0.0,124859.35379687835,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12209.5,529.1682983823518,0.0,126309.0324417475,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12269.5,407.63841060027005,0.0,122031.57599441273,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12329.5,276.5582636390022,0.0,104404.68042543673,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
12389.5,335.2953884716787,0.0,85352.58075482241,0.0,0.0,0.0,0.0,155.7019292091837,0.0,300.0
