t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
11760,0.0,0.0,0,44992.59481624681,0.0,23.355289381377567,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
11880,0.0,0.0,0,66096.87026666135,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12000,0.0,0.0,0,57610.523457429845,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12120,0.0,0.0,0,50965.78792649872,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12240,0.0,0.0,0,26817.103794642855,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12360,0.0,-0.0,0,32856.90619021046,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
12480,0.0,0.0,0,34581.74102160395,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
12600,0.0,0.0,0,50484.70010562819,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12720,0.0,0.0,0,31059.701102120536,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12840,0.0,0.0,0,11577.466069435586,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
12960,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13080,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13200,0.0,0.0,0,4547.3682637117345,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13320,0.0,0.0,0,21221.051897321428,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13440,0.0,0.0,0,32390.952596859053,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13560,0.0,0.0,0,16416.77545041454,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13680,0.0,0.0,0,3590.953593351403,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13800,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
13920,0.0,0.0,0,0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14040,0.0,0.0,0,11368.420659279336,0.0,23.355289381377567,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14160,0.0,0.0,0,21978.94660794005,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14280,0.0,0.0,0,27878.617267219386,0.0,81.74351283482144,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14400,0.0,0.0,0,29159.70160036671,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14520,0.0,781.25,0,33916.1152742347,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14640,0.0,0.0,0,38521.871761399874,0.0,23.355289381377567,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14760,0.0,781.25,0,44456.57535475127,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
14880,0.0,781.25,0,41273.18713129783,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0,40433.548907844386,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
15120,0.0,-0.0,0,41273.18713129783,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,58.38822345344388,0.0,0.0,0.0
15240,0.0,0.0,0,46949.83034717793,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
15360,0.0,0.0,0,45153.77745336416,0.0,81.74351283482144,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
15480,0.0,0.0,0,42006.57435825893,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
15600,0.0,0.0,0,30966.279944595026,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
15720,0.0,781.25,0,24752.46507294324,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
15840,0.0,781.25,0,41228.780941087374,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,23.355289381377553,0.0,0.0,0.0
15960,0.0,0.0,0,53052.629743303565,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
16080,0.0,0.0,0,41684.20908402423,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
16200,0.0,0.0,0,2273.6841318558672,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
16320,0.0,0.0,0,5736.183633609694,0.0,58.38822345344389,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0
