t,qkd,mfg,bankQ,bankP,xq,xp,y,servedQ,servedP,ageQ,ageMean,ageOldest
7200,110.6190457089548,0.0,13405.063056056366,0,142.44852905255792,0.0,3.694822225952521e-13,95.7379502897756,0.0,7.858108534381614,165.28373326524917,300
7320,77.60775640625981,0.0,7140.762224023915,0,71.72246680572661,0.0,7.389644451905042e-13,25.011888042944044,0.0,0.7987296501105006,217.37381850691352,300
7440,91.63987713341122,0.0,1752.9475968731824,0,99.06328193382035,0.0,7.602807272633072e-13,157.45150538723675,0.0,90.32649821849682,129.16555957348032,299
7560,109.59876381063303,0.0,96.15124554015205,0,104.78649596396718,0.0,7.744915819785092e-13,133.9806076906617,0.0,277.5851825569413,277.5851825569413,288
7680,125.04683793780887,0.0,0,0,2909.6480027562197,0.0,2.8421709430404007e-13,125.04683793780887,0.0,0.0,0.0,0.0
7800,104.96024419083777,0.0,0,0,3362.3766636632567,0.0,-2.842170943040401e-14,104.96024419083777,0.0,0.0,0.0,0.0
7920,102.45238575600047,0.0,0,0,2377.3100922403796,0.0,-2.8421709430404007e-13,102.45238575600047,0.0,0.0,0.0,0.0
8040,96.81986841621932,0.0,0,0,2022.684426883563,0.0,-3.410605131648481e-13,96.81986841621932,0.0,0.0,0.0,0.0
8160,99.7093359022723,0.0,0,0,3399.5201543690737,0.0,-3.979039320256561e-13,99.7093359022723,0.0,0.0,0.0,0.0
8280,138.15853580837188,0.0,0,0,2806.2802063928575,0.0,-6.252776074688882e-13,138.15853580837188,0.0,0.0,0.0,0.0
8400,114.46632814298609,0.0,0,0,1480.0053159561878,0.0,-3.979039320256561e-13,114.46632814298607,0.0,0.0,0.0,0.0
8520,70.63132417757936,0.0,0,0,1963.7933994009175,0.0,-6.821210263296962e-13,70.63132417757936,0.0,0.0,0.0,0.0
8640,98.13868586155378,0.0,0,0,3348.883663853145,0.0,-7.247535904753022e-13,98.13868586155378,0.0,0.0,0.0,0.0
8760,139.2551324259546,0.0,0,0,1247.793722695791,0.0,-4.263256414560601e-13,139.25513242595457,0.0,0.0,0.0,0.0
8880,105.34553206039433,0.0,1392.5606593917469,0,118.80651216548173,0.0,2.7711166694643907e-13,60.41828871199006,0.0,16.139696193666953,62.1153352967433,86
9000,69.05545801894132,0.0,1627.8801946375181,0,45.27696574073799,0.0,3.623767952376511e-13,45.27696574069011,0.0,0.47482142654147663,166.4777331607246,206
9120,72.89651294866421,0.0,0,0,86.80765457071408,0.0,4.405364961712621e-13,72.89651294866421,0.0,0.0,0.0,0.0
9240,129.28381489927204,0.0,1900.7314140419007,0,122.5702316047794,0.0,4.121147867408581e-13,122.57023160473142,0.0,3.362028536559605,61.5280628939893,110
9360,168.03278692230782,0.0,5167.995265352828,0,119.66736951032121,0.0,5.826450433232822e-13,96.3120801288955,0.0,0.4006661374199717,95.91755183171074,230
9480,132.18262580328565,0.0,8276.166547051924,0,88.84911428611974,0.0,7.496225862269057e-13,110.14434457659044,0.0,1.0323929017655922,126.50873981473846,296
9600,98.90020150935342,0.0,6744.891934226036,0,99.38138551474646,0.0,6.750155989720952e-13,70.18727378797632,0.0,56.34871573022546,206.34903884627516,300
9720,105.08446550919321,0.0,2269.8347917699916,0,88.09131665487567,0.0,6.536993168992922e-13,88.09131665482755,0.0,2.106443149054956,229.43396089035193,300
9840,151.8563393933002,0.0,376.46265766324376,0,128.76448806548376,0.0,6.465938895416912e-13,148.96351736531318,0.0,6.929870616559677,38.832634722937485,165
