study,policy,theta,load_scale,budget_scale,V_chi,V_nu,offered_mbps,lp_boundary_mbps,goodput_mbps,its_fraction,mislabelled_fraction,mean_aos,mean_delay,phys_slope,manufacture_utilisation,qkd_expired_frac
C,aos_tqd,0.25,2.0,1.0,10.0,0.0,12.5,42.72806801739078,12.474763177119051,0.8713763268536923,0.0,51.191524672873506,32.610971411452475,0.038932043985187174,0.012618955761316872,0.4824764841186305
C,aos_tqd,0.5,2.0,1.0,10.0,0.0,12.5,21.36403400869539,12.460358829219228,0.8778063374175149,0.0,48.564213927839276,39.196532864956644,0.10084677850700355,0.01617283950617284,0.48271208058718107
C,aos_tqd,0.75,2.0,1.0,10.0,0.0,12.5,14.242689339130257,12.409769111881218,0.8989252928025822,0.0,44.48664682503171,114.42356132909828,-0.2627199954729503,0.0241943158436214,0.484153116167672
C,aos_tqd,1.0,2.0,1.0,10.0,0.0,12.5,10.682017004347696,11.680697984661828,1.0,0.0,15.62290851446576,1400.7264036627598,10.55344968710972,0.0,0.501581460417583
D,aos_tqd,0.5,1.0,1.0,0.0,0.0,6.25,nan,6.247448413127634,0.7104034662451173,0.0,89.4242350723845,2.534427546824771,2.1410845266952182e-05,0.04732478137860082,0.7851442851082844
D,aos_tqd,0.5,1.0,1.0,0.1,0.0,6.25,nan,6.2470270117662015,0.9486087508374608,0.0,18.585436418187285,2.726154142604746,-6.761405616999023e-05,0.008904642489711935,0.7510811836879283
D,aos_tqd,0.5,1.0,1.0,1.0,0.0,6.25,nan,6.246651496030934,0.9618919297535662,0.0,16.147943117983168,2.820310856523787,-0.0002129172364991107,0.0061940586419753085,0.753590151304011
D,aos_tqd,0.5,1.0,1.0,10.0,0.0,6.25,nan,6.240597088693166,0.9934510208832187,0.0,9.915627187125144,5.768841662465915,0.008139402983517086,0.0006513631687242798,0.7595422003618177
D,aos_tqd,0.5,1.0,1.0,100.0,0.0,6.25,nan,6.238296085215898,0.9998753150285914,0.0,8.516092842458402,8.67251046910187,0.03140787328814153,3.215020576131687e-06,0.7595526969694474
D,aos_tqd,0.5,1.0,1.0,1000.0,0.0,6.25,nan,6.23691428779104,0.9999787809567318,0.0,8.36102066313279,11.84253917617487,0.034877132792802724,0.0,0.7629696509202072
E,aos_tqd,0.5,2.0,1.0,10.0,0.0,12.5,nan,12.460358829219228,0.8778063374175149,0.0,50.78863472172288,39.196532864956644,0.10084677850700355,0.015132137345679014,0.48271208058718107
