policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabeled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilization,qkd_units,qkd_expired_frac,unroutable
aos_tqd,weather,8,0.0,1.0,0.0,781.25,23.97351168588238,0.4221164861062443,0.0,0.0,176.48299082779812,7.833599033303685,30494.313232146,25486.635514083046,3.5259444098341852,81048577.6417447,3593750.0,50625000.0,0.07098765432098765,4778180.536721559,0.6771333888577133,0
aos_tqd,weather,9,0.0,1.0,0.0,781.25,24.155895691609974,0.45647837412874614,0.0,0.0,166.4848544997735,7.753760543917352,29643.660659739184,24678.36644297543,-2.3970605425739073,58812132.37585063,3377343.75,50625000.0,0.06671296296296296,5171821.428842213,0.6571095315374536,0
aos_tqd,weather,0,0.25,1.0,0.0,781.25,23.578511337560844,0.5094278549460499,0.23055241650392772,0.0,150.56094080940252,12.280451760934302,41310.27251535662,35662.584155571785,1.5801510473743363,193294181.87112153,4178906.25,50625000.0,0.0825462962962963,4731489.537453889,0.630676869091484,0
aos_tqd,weather,1,0.25,1.0,0.0,781.25,23.592024672440296,0.5204406714858772,0.2316147572268925,0.0,148.41069374733885,8.898798879650156,41710.6929801808,35570.11931556657,0.2260682705181084,198941410.57702065,3864062.5,50625000.0,0.07632716049382716,4729207.443574067,0.6412279487276119,0
aos_tqd,weather,2,0.25,1.0,0.0,781.25,23.61302437641723,0.4812275115761928,0.2321900686318936,0.0,159.16635962503662,15.436852113543145,45447.31133285589,38669.96778029665,0.5233006662787182,192796642.60593513,4148437.5,50625000.0,0.08194444444444444,4619524.1043894645,0.615702211923897,0
aos_tqd,weather,3,0.25,1.0,0.0,781.25,23.643069727891156,0.5167735148403572,0.23366931314457326,0.0,148.27321793221995,9.302990972428843,43595.778207743366,36391.80778207353,0.35933661560685554,189469739.14820215,4150781.25,50625000.0,0.08199074074074074,4531921.4376106225,0.6368942602582144,0
aos_tqd,weather,4,0.25,1.0,0.0,781.25,23.723639455782312,0.5215778343309796,0.23376285888383094,0.0,146.85080629363515,6.621655098157562,37972.601666432834,32995.0452305043,0.3856042330060753,175010087.47779042,3925781.25,50625000.0,0.0775462962962963,4939664.459563308,0.6555501099609453,0
aos_tqd,weather,5,0.25,1.0,0.0,781.25,23.60419300869344,0.5337188056393379,0.23246006804402478,0.0,143.87539765081124,10.171473546374354,41106.31064371178,35457.525781021606,0.940637571317107,186543414.09204563,3931250.0,50625000.0,0.07765432098765432,4873065.328636234,0.6382095867040594,0
aos_tqd,weather,6,0.25,1.0,0.0,781.25,23.561649659863946,0.4998195499575942,0.23112943681541762,0.0,154.72946366514182,9.811107950077204,44577.52114338327,38195.99174925158,-1.1215825404886528,206034472.66998574,3890625.0,50625000.0,0.07685185185185185,4989640.824242336,0.6459331153655312,0
aos_tqd,weather,7,0.25,1.0,0.0,781.25,23.680980725623584,0.5426558862429904,0.23349571795347498,0.0,141.6419709769072,6.0376772393199,40581.19526703013,34093.47318564884,0.9339190250654192,188781613.51254404,3951562.5,50625000.0,0.07805555555555556,5011957.128430413,0.677997370397343,0
aos_tqd,weather,8,0.25,1.0,0.0,781.25,23.3850906932612,0.5167697743281527,0.2266152821071091,0.0,149.00737785248688,7.19213347581023,40791.408434558514,34879.63817320642,8.210921969652183,227702132.56172094,3949218.75,50625000.0,0.07800925925925926,4778180.536721559,0.6607433247277413,0
aos_tqd,weather,9,0.25,1.0,0.0,781.25,23.70408163265306,0.5540787774429617,0.23453867125843017,0.0,137.49662867694576,6.710428896505318,38605.90240789488,33501.0400878359,-0.9777500146325667,178350248.12341484,3697656.25,50625000.0,0.07304012345679012,5171821.428842213,0.6445494846492714,0
aos_tqd,weather,0,0.5,1.0,0.0,781.25,23.307812043770387,0.63909748127514,0.47913753653519164,0.0,121.57033855003526,15.108874310939127,53151.39840514605,42866.00388853875,2.1535590534188125,330015580.45529914,4517187.5,50625000.0,0.08922839506172839,4731489.537453889,0.6005529309718282,0
aos_tqd,weather,1,0.5,1.0,0.0,781.25,23.307256235827666,0.6464525465778079,0.4807608114024419,0.0,123.50619367837405,5.878416139690616,50707.96215619449,41226.183323998484,3.4027168682384374,335656086.69126064,4292187.5,50625000.0,0.08478395061728396,4729207.443574067,0.6135253829970819,0
aos_tqd,weather,2,0.5,1.0,0.0,781.25,23.062529046494696,0.6118643852613631,0.47473472862368027,0.0,127.13293587387822,22.256243715466425,60326.43645446302,49245.49256527616,11.444495820222976,368579520.8510459,4668750.0,50625000.0,0.09222222222222222,4619524.1043894645,0.5880540855989728,0
aos_tqd,weather,3,0.5,1.0,0.0,781.25,23.288253389638268,0.6420258389050862,0.480215408132214,0.0,118.45561008394947,16.452657204907222,57343.673977509454,45292.34185648729,2.7995321083552684,335716844.31687343,4532812.5,50625000.0,0.08953703703703704,4531921.4376106225,0.6091200797054551,0
aos_tqd,weather,4,0.5,1.0,0.0,781.25,23.474248613511236,0.6549971906054627,0.4837826516767106,0.0,116.66335781391254,10.489114222720762,46569.51329404919,38962.983826132746,2.1585815295950104,287690835.1533622,4244531.25,50625000.0,0.0838425925925926,4939664.459563308,0.6292676780325471,0
aos_tqd,weather,5,0.5,1.0,0.0,781.25,23.312105392903863,0.6545630402716586,0.48054053147695636,0.0,115.90603552678905,11.492959731373901,50849.25814136063,41792.8629005028,3.887197857272306,310055482.32095087,4267187.5,50625000.0,0.08429012345679013,4873065.328636234,0.6119319204508521,0
