scheduler,scenario,seed,horizon_s,secure_goodput_bps,secrecy_outage_rate,rekey_events,mean_queue,mean_aos,max_aos,mean_z_l1,final_z_l1,max_z_edge,mean_lyapunov,final_lyapunov,key_inflow_bits,key_overflow_bits,key_overflow_frac,active_overflow_frac,pqc_utilisation,n_active_edges,weight_variant,k_max_bits,aos_T_a,load_scale,cg_mean_iters,cg_max_iters_used,cg_nonconverged,cg_gap_frac,cg_gap_max,key_blocked_edge_slots
aos_backpressure,relay_compromise,18,600,245000000.0,0.119,395,1033319670.8316667,16.803854106798607,301.1577189786647,28315512.207430165,51796797.75774589,12352317.815711426,1.5947582858131261e+18,4.676863864291276e+16,4805236453.058911,1.8928573126686388e-06,3.939155400903708e-16,9.261928762040296e-16,0.3967850872378301,28,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,relay_compromise,19,600,245000000.0,0.11366666666666667,381,1168212811.5083334,14.265697638053519,302.3894882454594,26519966.970747642,42727466.02129954,11449106.092157777,2.0560825879859625e+18,3.5876851534487932e+16,4890427764.315391,2.0640964617682598e-06,4.220686944462438e-16,9.357598896122552e-16,0.40536044287290623,28,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,0,600,336793679.57590866,0.44733333333333336,1408,25662717790.083332,25.568452761572587,420.0,39360738.400740944,35854910.3347335,11419930.343172085,3.99811922035256e+20,8.821815202840074e+20,4861673609.064459,1.2852961618348149e-06,2.6437319021960153e-16,4.567065571040983e-16,0.5084276616261965,30,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,1,600,353494071.8421752,0.35633333333333334,1179,21111566922.91,30.484039610949694,420.0,38619848.209113665,24832037.102001972,8354248.695157878,2.8944730963575276e+20,5.413336827551115e+20,4955278005.317129,1.2420688613179465e-06,2.506557371726021e-16,4.651628304727034e-16,0.5388559032497993,30,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,2,600,338035913.63803905,0.42766666666666664,1406,25162363427.331665,27.96502545520851,360.0,36342498.518652014,27370925.863524765,9144908.917166183,4.033352468713869e+20,8.89523913127626e+20,4875484398.01806,1.284155281666699e-06,2.6339029660083063e-16,5.154648220195685e-16,0.5109762787863567,30,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,3,600,344065550.755391,0.43633333333333335,1390,24929662295.441666,29.569518228512546,306.1906585270995,41004671.662517555,53993276.78980233,11424994.206048846,3.757372052074998e+20,7.434940043918432e+20,4887087898.2024975,1.1902044625030793e-06,2.435406293676126e-16,4.4073711879386e-16,0.5220936519987258,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,4,600,343195157.1307042,0.393,1274,22798433384.61,30.956121659319688,420.0,40836181.35924501,23414863.153424986,11421516.568666829,3.421931250709122e+20,7.637480733078576e+20,4856467176.068578,1.3209727883562628e-06,2.720028243711143e-16,5.232400068494978e-16,0.5198433239248693,30,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,5,600,342410791.2859506,0.41,1315,23258788988.345,28.15837568693146,330.0,31531607.87307111,29901266.672257274,9901580.679460801,3.591766038750647e+20,7.822562720976935e+20,4936282946.937528,1.3354853841685e-06,2.705447395386919e-16,5.30843008680618e-16,0.5010406436319815,29,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,6,600,350018665.93705475,0.471,1486,23087803039.06167,34.3096479494353,334.0,38889156.27216686,41074371.779943556,9141561.329790091,2.750399467838096e+20,4.988825597848807e+20,4876614077.985512,1.2778520128327309e-06,2.620367313052996e-16,4.943216166752614e-16,0.5300936120652021,30,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,7,600,345841362.10430527,0.382,1214,23104600094.693333,27.557153673995156,350.0,34437993.52543231,41251474.497027114,8591177.65825755,3.395336451142739e+20,7.029664189939885e+20,4930233132.777229,1.1468250502758522e-06,2.3261071421785666e-16,4.184218323909949e-16,0.5242076635089516,29,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,8,600,347259871.82772803,0.45666666666666667,1432,23565392990.676666,33.22989773145141,332.0,31793345.762658413,41443268.97270893,8781431.458009826,3.1092023727699526e+20,5.832223210239935e+20,4889189761.362063,1.204263267865081e-06,2.4631141899667014e-16,4.602624828987009e-16,0.5033243447057311,29,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,9,600,339856842.46776354,0.361,1178,23124070186.46,23.110752210219342,407.0,37327733.57580675,19914440.46557414,11405306.09001819,3.744909646759227e+20,8.440344913105884e+20,5017269231.560202,1.23088861484974e-06,2.453303895089112e-16,4.751894388701943e-16,0.5162791287874716,33,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,10,600,342077488.32238024,0.36133333333333334,1198,23181046097.876667,24.767404131800543,344.0,38845547.16372992,24914242.876342434,11412214.74888104,3.78206296725869e+20,7.901841991842892e+20,4953951230.556372,1.176032690788165e-06,2.3739286804728727e-16,4.504488821987274e-16,0.5270140018741464,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,11,600,339203209.36092085,0.3893333333333333,1315,23800271755.315,25.783635795780427,348.0,38161109.95102148,25043355.94974906,11269657.12657642,3.806393849586383e+20,8.602290437732438e+20,4960045881.934219,1.378015763942031e-06,2.7782318888644233e-16,5.402467504884742e-16,0.5142524015836157,32,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,12,600,350980952.3981996,0.423,1429,23221191650.77833,30.365003844044757,330.0,41458405.24019315,50224092.907763675,9741089.828407135,3.257438183438918e+20,5.921044639658806e+20,4977119486.699539,1.3028291618866206e-06,2.61763689894968e-16,4.916148062979289e-16,0.5324568880790255,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,13,600,347919289.2174873,0.396,1283,22659634647.863335,29.191587040197142,332.0,40027924.06893394,33909735.58680933,8665752.101187652,3.3284710273908127e+20,6.569903909932644e+20,4893959450.127318,1.2006912157858096e-06,2.453414720783134e-16,4.606758030152336e-16,0.5325686100127139,31,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,14,600,347433639.3749091,0.39266666666666666,1261,22193347240.808334,28.78416609836131,331.0,37500149.59650099,35549367.8169426,11372095.217758639,3.2207375629008064e+20,6.67601229972109e+20,4998551459.299428,1.397021161366049e-06,2.794852014111001e-16,5.067642260071683e-16,0.5251506933528185,29,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,15,600,330317756.8895012,0.41933333333333334,1370,28588293021.86,23.83256245639345,420.0,32406265.727242615,45340841.94474295,11368322.624356834,5.149401993570403e+20,1.095581880482426e+21,4938864111.568943,1.5759890272804e-06,3.190994916399413e-16,6.035609792147044e-16,0.5061983173802906,29,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
aos_backpressure,traffic_surge,16,600,341109257.9637063,0.382,1250,22279214498.533333,26.282592468758928,420.0,37289957.58254711,13566109.044382213,11418024.51294123,3.5192701468520835e+20,8.134424058078792e+20,4945582829.855494,1.2158409395564285e-06,2.4584381282963053e-16,4.691979962947749e-16,0.5239660330415778,32,W3,500000000,300.0,1.0,0.0,0,0,0.0,0.0,0
