t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey
116,18006916.189666487,1,0.0,1440144.476409031,23115582032,71.08019893172758,120.0,1
117,42476414.57632832,3,0.0,1432218.722941622,23318105617,28.04728298134325,120.0,3
118,18006916.189666487,1,0.0,1441744.9198213639,23545098700,60.76464625862841,120.0,1
119,18006916.189666487,1,0.0,1451278.9396190627,23772091784,70.47351054378197,120.0,1
120,0.0,0,205.69538296689421,1464720.7103259775,24017091784,0.0,0.0,0
121,31479590.42634783,2,0.0,1465483.4578341707,24230612193,31.196995495241413,120.0,2
122,17251789.986930292,1,0.0,1474853.6047580119,24458360403,69.64724234034188,120.0,1
123,29003740.339646976,2,0.0,1475379.2007503507,24674356663,32.288961196342335,120.0,2
124,15741537.581457898,1,0.0,1485077.0934219076,24903615126,60.67824441394607,120.0,1
125,29214211.81813924,2,0.0,1486003.7138039584,25119400914,34.219944981802335,120.0,2
126,13336494.128777128,1,0.0,1497457.100167997,25351064420,60.657126998837406,120.0,1
127,16178629.869915657,1,0.0,1508293.7036021012,25579885790,69.53160946288423,120.0,1
128,16178629.869915657,1,0.0,1519130.307036206,25808707160,60.64182591962437,120.0,1
129,45182370.20956263,3,0.0,1517378.4815034491,26008524790,39.769438423573106,120.0,3
130,33019472.665767334,2,0.0,1517250.994575671,26220505317,31.005955730312696,120.0,2
131,16178629.869915657,1,0.0,1528087.5980097754,26449326687,72.61430730028998,120.0,1
132,16178629.869915657,1,0.0,1538924.2014438799,26678148057,60.61326633585965,120.0,1
133,16178629.869915657,1,0.0,1549767.091659604,26906969428,75.04765084521935,120.0,1
134,29651304.106597,2,0.0,1551838.7095858224,27122318124,30.939836554508883,120.0,2
135,45182370.20956263,3,0.0,1551015.715823547,27322135753,41.02902451186479,120.0,3
136,29564914.81117661,2,0.0,1556971.131522377,27537570839,42.087013571161414,120.0,2
137,16178629.869915657,1,0.0,1568736.566726963,27766392210,84.499870509076,120.0,2
138,29651304.106597,2,0.0,1571730.7296420424,27981740905,30.910964815231445,120.0,2
