policy,scenario,seed,theta,load_scale,V_nu,budget,goodput_mbps,its_fraction,claimed_its_fraction,mislabelled_fraction,mean_aos,mean_delay,mean_virt,mean_phys,phys_slope,final_lyap,manufactured_units,capability_units,manufacture_utilisation,qkd_units,qkd_expired_frac,unroutable
aos_tqd,nominal,4,0.75,1.0,0.0,781.25,24.898803218935523,0.9086719114617551,0.7493732265727048,0.0,36.6632682174166,6.843770931799908,52975.86292333941,48654.31005716115,0.12490103219528641,898006327.4405487,28117968.75,1215000000.0,0.02314236111111111,208627073.22188863,0.7875482689321375,0
tqd,nominal,0,1.0,1.0,0.0,781.25,24.835151563014964,1.0,1.0,0.0,16.151567506683065,8.201776286610407,68593.03241102438,62533.58833171524,0.02718236738181203,1534669615.8506215,0.0,1215000000.0,0.0,210224734.5746984,0.7741975307183241,0
tqd,nominal,1,1.0,1.0,0.0,781.25,24.82241929738962,1.0,1.0,0.0,15.103444764521367,7.325038476732397,63648.623198255744,57691.73924344964,1.256019070334035,1892337979.9871883,0.0,1215000000.0,0.0,211307693.1855664,0.7767904736477433,0
tqd,nominal,2,1.0,1.0,0.0,781.25,24.893012319667452,1.0,1.0,0.0,15.18783759636491,9.414138952063418,63107.580913071324,57222.33720179743,-0.33757420528627163,757152761.7036244,0.0,1215000000.0,0.0,211056980.56281123,0.7757322865307362,0
tqd,nominal,3,1.0,1.0,0.0,781.25,24.831792075331492,1.0,1.0,0.0,13.406940129155306,6.728251814880273,55701.611504845176,50541.59341128585,0.6228943102742427,2975008672.2054825,0.0,1215000000.0,0.0,210340685.52101672,0.7776202363788771,0
tqd,nominal,4,1.0,1.0,0.0,781.25,24.875213398404103,1.0,1.0,0.0,16.18605333020298,15.885720003780374,68886.94106522764,61799.78179812685,0.37287573341501534,1533655958.8980274,0.0,1215000000.0,0.0,208627073.22188863,0.7724071712527601,0
tqd,nominal,0,1.0,1.0,0.0,781.25,24.835151563014964,1.0,1.0,0.0,16.151567506683065,8.201776286610407,68593.03241102438,62533.58833171524,0.02718236738181203,1534669615.8506215,0.0,1215000000.0,0.0,210224734.5746984,0.7741975307183241,0
tqd,nominal,1,1.0,1.0,0.0,781.25,24.82241929738962,1.0,1.0,0.0,15.103444764521367,7.325038476732397,63648.623198255744,57691.73924344964,1.256019070334035,1892337979.9871883,0.0,1215000000.0,0.0,211307693.1855664,0.7767904736477433,0
tqd,nominal,2,1.0,1.0,0.0,781.25,24.893012319667452,1.0,1.0,0.0,15.18783759636491,9.414138952063418,63107.580913071324,57222.33720179743,-0.33757420528627163,757152761.7036244,0.0,1215000000.0,0.0,211056980.56281123,0.7757322865307362,0
tqd,nominal,3,1.0,1.0,0.0,781.25,24.831792075331492,1.0,1.0,0.0,13.406940129155306,6.728251814880273,55701.611504845176,50541.59341128585,0.6228943102742427,2975008672.2054825,0.0,1215000000.0,0.0,210340685.52101672,0.7776202363788771,0
