study,horizon_s,weight_variant,k_max_bits,aos_T_a,load_scale,scheduler,n_seeds,mean_aos,goodput_mbps,active_overflow_frac,queue_slope_bits_per_cycle,chi_prime,mean_queue_bits,cg_mean_iters,cg_gap_frac,cg_gap_max,cg_nonconverged,greedy_aos,greedy_goodput_mbps,greedy_queue_bits
G,600,drift,500000000,300.0,1.5,aos_cg,3,27.926044034683894,332.81993200768727,,,,10902084186.566666,1.0094444444444444,0.47400342012949775,0.4974672477719442,0.0,20.64861476642507,332.72266928965774,10957463898.152222
G,600,drift,500000000,300.0,2.0,aos_cg,3,46.154892579592065,405.2525199962266,,,,25932249666.129444,1.0222222222222224,0.4834280172914253,0.4983661111791477,0.0,32.72461077188038,405.1206612984771,25997506169.754444
G,600,drift,500000000,300.0,3.0,aos_cg,3,83.20223496898309,515.0049915159447,,,,68216514465.556114,1.0216666666666667,0.49069951086817376,0.4995706706640643,0.0,71.56626145458755,512.8939344104326,68762480351.37279
G,600,drift,500000000,300.0,4.0,aos_cg,3,100.53143275512976,567.5939461091227,,,,126640794336.90944,1.0316666666666667,0.4934086334656116,0.49983057697239475,0.0,88.28475412896732,566.5877207604407,127103861508.69
G,600,drift,500000000,300.0,8.0,aos_cg,3,107.67020837858861,587.5579466178392,,,,416037987401.56836,1.0416666666666667,0.4970339046400525,0.5000003000373477,0.0,101.16958223699659,586.3550157703745,416541271033.9261
D,1800,W3,500000000,300.0,0.5,aos_cg,1,0.4942773551093152,122.5,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.5,aos_greedy,1,0.4942773551093152,122.5,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.5,aos_backpressure,1,0.42739720367186895,122.5,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.5,aos_ideal,1,195.61497606055053,118.9258320848768,nan,391020.76788056176,,,,,,,,,
D,1800,W3,500000000,300.0,0.5,shortest_path,1,25.527718673173684,122.5,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.75,aos_cg,1,0.473140596664777,183.75,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.75,aos_greedy,1,0.47353860430448713,183.75,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.75,aos_backpressure,1,0.5078850980485201,183.75,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,0.75,aos_ideal,1,201.12661546734512,180.1446545496027,nan,166983.26521140538,,,,,,,,,
D,1800,W3,500000000,300.0,0.75,shortest_path,1,36.81341138360889,160.20940492181072,nan,23800000.00000001,,,,,,,,,
D,1800,W3,500000000,300.0,1.0,aos_cg,1,0.9980102904984329,245.0,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,1.0,aos_greedy,1,1.0087391600702245,245.0,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,1.0,aos_backpressure,1,1.3632204489049724,245.0,nan,0.0,,,,,,,,,
D,1800,W3,500000000,300.0,1.0,aos_ideal,1,194.21126387657958,238.40155001095144,nan,138190.37814751134,,,,,,,,,
D,1800,W3,500000000,300.0,1.0,shortest_path,1,36.93465988485864,196.47022222222222,nan,48800000.00000001,,,,,,,,,
D,1800,W3,500000000,300.0,1.25,aos_cg,1,23.17921316314481,296.2742423028172,nan,9775517.594894046,,,,,,,,,
D,1800,W3,500000000,300.0,1.25,aos_greedy,1,17.971444367221178,296.24292497218687,nan,9776059.700347632,,,,,,,,,
D,1800,W3,500000000,300.0,1.25,aos_backpressure,1,15.193316734533603,295.2579121891175,nan,10467936.588842442,,,,,,,,,
D,1800,W3,500000000,300.0,1.25,aos_ideal,1,196.5485377567512,288.1115217613564,nan,12095470.459145095,,,,,,,,,
D,1800,W3,500000000,300.0,1.25,shortest_path,1,47.634740811497956,231.2966280193552,nan,74031642.43071948,,,,,,,,,
D,1800,W3,500000000,300.0,1.5,aos_cg,1,28.21599654615067,332.53970758376823,nan,34775517.594878785,,,,,,,,,
D,1800,W3,500000000,300.0,1.5,aos_greedy,1,21.269494837491226,332.50839025313786,nan,34776056.648999825,,,,,,,,,
D,1800,W3,500000000,300.0,1.5,aos_backpressure,1,20.754106760064218,331.3417235864712,nan,35171814.56441838,,,,,,,,,
D,1800,W3,500000000,300.0,1.5,aos_ideal,1,197.95411101810018,324.3627948428169,nan,35946771.89834117,,,,,,,,,
D,1800,W3,500000000,300.0,1.5,shortest_path,1,57.956085152927,253.99084928316913,nan,112828173.67880838,,,,,,,,,
D,1800,W3,500000000,300.0,1.75,aos_cg,1,34.899033795758804,368.78970758376823,nan,59775517.594878785,,,,,,,,,
D,1800,W3,500000000,300.0,1.75,aos_greedy,1,27.81907485889102,368.75839025313786,nan,59776056.60323038,,,,,,,,,
D,1800,W3,500000000,300.0,1.75,aos_backpressure,1,26.14454961698526,358.8772552954497,nan,67259181.83953308,,,,,,,,,
D,1800,W3,500000000,300.0,1.75,aos_ideal,1,199.48802270288908,360.4696494030847,nan,61706323.84694062,,,,,,,,,
D,1800,W3,500000000,300.0,1.75,shortest_path,1,59.02808169191861,267.75166658358063,nan,160337420.8626846,,,,,,,,,
D,1800,W3,500000000,300.0,2.0,aos_cg,1,46.056021070885606,405.02034806757854,nan,84775517.59487705,,,,,,,,,
D,1800,W3,500000000,300.0,2.0,aos_greedy,1,33.4926768824157,404.9528346975823,nan,84775724.63494079,,,,,,,,,
D,1800,W3,500000000,300.0,2.0,aos_backpressure,1,29.84897135939632,379.1697465535685,nan,115180884.65929733,,,,,,,,,
D,1800,W3,500000000,300.0,2.0,aos_ideal,1,201.44969725272475,394.9502738821557,nan,87398535.92280014,,,,,,,,,
D,1800,W3,500000000,300.0,2.0,shortest_path,1,65.52891942930262,280.45670514780613,nan,209985986.47093788,,,,,,,,,
