t,secure_bps,violations,k_min,k_mean,q_total,aos_mean,aos_max,rekey,q_sumsq,z_l1,z_sumsq,z_max,lyapunov,key_inflow,key_overflow
441,160194551.51987618,1,0.0,6181489.856592967,7507422725,15.275954660429061,120.0,1,5.062426913104483e+19,8323940.249030237,21935933655164.79,3509737.832924305,2.531432815888793e+19,8364935.322052108,6.231857696548104e-09
442,338347784.7250769,2,0.0,6141556.21993333,7414074940,15.272390544315341,120.0,2,5.019565452584953e+19,9541327.558421219,25192101898572.844,3787227.224860118,2.510034647311462e+19,8364935.322052059,5.384208634495735e-09
443,160194551.51987618,1,0.0,6194162.07414696,7498880388,15.275901286038817,120.0,1,5.05055697696315e+19,8372890.788659075,22304491999729.516,3561924.5851049637,2.525501533401572e+19,8377880.172259392,5.631591193377972e-09
444,338347784.7250769,2,0.0,6154348.258081438,7405532604,15.272403240260171,120.0,2,5.00774408385186e+19,9590278.098050045,25572784338199.137,3837220.5125576253,2.5041277697693123e+19,8377880.172259392,5.631591193377972e-09
445,160194551.51987618,1,0.0,6206882.903776081,7490338053,15.275848591027325,120.0,1,5.0387009854938374e+19,8422891.463171408,22663136656743.465,3611917.8728024713,2.5195771241134862e+19,8377850.625000094,5.005858838558197e-09
446,338347784.7250769,2,0.0,6166801.625140125,7396990267,15.272445627807338,120.0,2,4.995936659790789e+19,9641444.499432752,25959504234247.145,3887213.800255133,2.498227924937737e+19,8373187.717518596,6.490154191851616e-09
447,160194551.51987618,1,0.0,6219382.995665062,7481795716,15.275779561587804,120.0,1,5.026858938696548e+19,8474050.47773929,23026889087344.074,3661911.160499979,2.5136597382391476e+19,8373187.717518596,6.490154191851616e-09
448,338347784.7250769,2,0.0,6179284.4270691145,7388447932,15.272485372615996,120.0,2,4.98414318040174e+19,9691437.787130259,26350672758777.703,3937207.0879526404,2.492335096928458e+19,8373187.717518596,6.490154191851616e-09
449,160194551.51987618,1,0.0,6231898.504531484,7473253380,15.275681879533394,120.0,1,5.015030836571282e+19,8524043.765436796,23395530372498.06,3711904.4481974863,2.507749373589366e+19,8373187.717518596,6.490154191851616e-09
450,338347784.7250769,2,0.0,6191651.574298153,7379905595,15.27254230699562,120.0,2,4.972363645684712e+19,9741431.074827766,26746839940937.87,3987200.375650148,2.4864492912417657e+19,8373187.717518596,6.490154191851616e-09
451,160194551.51987618,1,0.0,6244281.562302543,7464711043,15.275582487806934,120.0,1,5.003216679118037e+19,8574035.117000503,23769170130658.54,3761897.735894994,2.501846031260325e+19,8373195.462053795,5.034962669014931e-09
452,338347784.7250769,2,0.0,6203896.10392438,7371363259,15.272617315894795,120.0,2,4.960598055639707e+19,9791422.426391475,27148004870679.348,4037193.6633476554,2.48057050786856e+19,8373195.462053795,5.034962669014931e-09
453,160194551.51987618,1,0.0,6256540.754897419,7456168708,15.275481579815958,120.0,1,4.991416466336812e+19,8624028.404698012,24147808731071.746,3811891.0235925014,2.4959497112557167e+19,8373195.462053795,5.034962669014931e-09
454,338347784.7250769,2,0.0,6216025.74915228,7362820922,15.272709899849689,120.0,2,4.948846410266725e+19,9841415.714088982,27554169368098.74,4087186.951045163,2.4746987468270432e+19,8373195.462053795,5.034962669014931e-09
455,160194551.51987618,1,0.0,6268684.15211073,7447626371,15.275379320947456,120.0,1,4.979630198227611e+19,8674021.69239552,24531445989114.566,3861884.311290009,2.4900604135736967e+19,8373195.462053795,5.034962669014931e-09
456,338347784.7250769,2,0.0,6228048.091548228,7354278587,15.272819605364546,120.0,2,4.937108709565762e+19,9891409.001786489,27965332523147.742,4137180.2387426705,2.4688340081081123e+19,8373195.462053795,5.034962669014931e-09
457,160194551.51987618,1,0.0,6280719.344973046,7439084035,15.275275870888445,120.0,1,4.967857874790433e+19,8724014.980093027,24920081904786.996,3911877.5989875165,2.4841781382142644e+19,8373195.462053795,5.034962669014931e-09
458,335111103.6018781,2,0.0,6241374.974924265,7348972931,15.272862557660233,120.0,2,4.925603285400473e+19,9890829.146934016,28373482918634.652,4187173.526440178,2.4630853775294226e+19,8322622.319503814,4.48198989033699e-09
